clip_id,emotion
clip_000000,fear
clip_000003,disgust
clip_000004,neutral
clip_000005,disgust
clip_000006,disgust
clip_000007,disgust
clip_000009,happy
clip_000010,anger
clip_000011,sad
clip_000012,happy
clip_000014,fear
clip_000015,anger
clip_000016,disgust
clip_000018,happy
clip_000020,happy
clip_000021,happy
clip_000022,happy
clip_000023,neutral
clip_000025,disgust
clip_000028,sad
clip_000029,sad
clip_000031,neutral
clip_000032,anger
clip_000033,anger
clip_000034,disgust
clip_000035,fear
clip_000036,anger
clip_000038,neutral
clip_000039,anger
clip_000040,neutral
clip_000041,sad
clip_000042,neutral
clip_000043,anger
clip_000044,anger
clip_000046,fear
clip_000047,happy
clip_000048,neutral
clip_000049,happy
clip_000051,sad
clip_000052,sad
clip_000053,neutral
clip_000056,happy
clip_000057,neutral
clip_000063,neutral
clip_000064,disgust
clip_000065,sad
clip_000068,anger
clip_000069,sad
clip_000070,anger
clip_000071,anger
clip_000072,fear
clip_000073,fear
clip_000074,happy
clip_000075,neutral
clip_000079,fear
clip_000080,anger
clip_000082,disgust
clip_000083,anger
clip_000085,sad
clip_000086,neutral
clip_000087,neutral
clip_000088,happy
clip_000090,neutral
clip_000091,disgust
clip_000093,neutral
clip_000094,fear
clip_000097,neutral
clip_000098,fear
clip_000099,happy
clip_000100,sad
clip_000101,disgust
clip_000103,neutral
clip_000104,happy
clip_000105,sad
clip_000106,sad
clip_000107,fear
clip_000108,happy
clip_000109,anger
clip_000110,happy
clip_000111,happy
clip_000112,neutral
clip_000114,anger
clip_000115,neutral
clip_000116,happy
clip_000117,fear
clip_000118,disgust
clip_000119,fear
clip_000120,anger
clip_000122,sad
clip_000124,neutral
clip_000126,anger
clip_000128,happy
clip_000129,neutral
clip_000131,sad
clip_000132,happy
clip_000133,anger
clip_000134,disgust
clip_000135,anger
clip_000136,neutral
clip_000138,anger
clip_000139,disgust
clip_000140,happy
clip_000141,anger
clip_000142,neutral
clip_000143,neutral
clip_000144,anger
clip_000145,sad
clip_000146,disgust
clip_000147,anger
clip_000148,happy
clip_000151,neutral
clip_000152,happy
clip_000154,anger
clip_000155,happy
clip_000156,fear
clip_000158,happy
clip_000159,neutral
clip_000161,fear
clip_000162,happy
clip_000163,fear
clip_000164,neutral
clip_000165,happy
clip_000166,happy
clip_000168,anger
clip_000169,fear
clip_000170,happy
clip_000171,fear
clip_000172,fear
clip_000173,fear
clip_000174,disgust
clip_000175,fear
clip_000177,happy
clip_000181,fear
clip_000182,neutral
clip_000183,happy
clip_000184,anger
clip_000185,sad
clip_000186,neutral
clip_000187,disgust
clip_000188,fear
clip_000189,neutral
clip_000190,happy
clip_000191,happy
clip_000192,fear
clip_000193,disgust
clip_000194,happy
clip_000195,anger
clip_000196,fear
clip_000197,fear
clip_000199,neutral
clip_000200,neutral
clip_000201,anger
clip_000203,sad
clip_000206,neutral
clip_000208,neutral
clip_000209,happy
clip_000210,neutral
clip_000211,neutral
clip_000212,disgust
clip_000214,disgust
clip_000215,happy
clip_000216,disgust
clip_000217,fear
clip_000218,fear
clip_000221,sad
clip_000222,neutral
clip_000223,fear
clip_000225,sad
clip_000226,neutral
clip_000227,anger
clip_000228,anger
clip_000229,sad
clip_000230,happy
clip_000231,disgust
clip_000233,disgust
clip_000234,happy
clip_000235,sad
clip_000236,neutral
clip_000238,neutral
clip_000239,disgust
clip_000240,neutral
clip_000241,sad
clip_000242,disgust
clip_000243,fear
clip_000245,sad
clip_000248,anger
clip_000249,sad
clip_000251,sad
clip_000252,neutral
clip_000253,disgust
clip_000254,happy
clip_000255,sad
clip_000256,neutral
clip_000257,anger
clip_000259,neutral
clip_000261,disgust
clip_000262,fear
clip_000263,happy
clip_000264,sad
clip_000265,fear
clip_000267,disgust
clip_000268,neutral
clip_000270,anger
clip_000271,disgust
clip_000273,neutral
clip_000275,happy
clip_000277,anger
clip_000279,happy
clip_000280,disgust
clip_000281,happy
clip_000282,happy
clip_000283,anger
