param,importance
speed_perturb_max,0.0
speed_perturb_min,0.0
hidden_size,0.0007049726010827673
cnn_channels,0.0007968875752173233
loss_type,0.0010195378194847108
scheduler_type,0.0011770669918369605
max_grad_norm,0.003188999738562752
class_weighting,0.004322874774574176
batch_size,0.006112198712771913
speed_perturb_prob,0.007028324699306575
num_layers,0.008214471190051982
warmup_epochs,0.014787561668679327
min_lr_ratio,0.018995630632059918
mixup_alpha,0.03415708762570699
mixup_prob,0.07026267680578922
learning_rate,0.8292317091648752
