number,value,datetime_start,datetime_complete,duration,params_batch_size,params_class_weighting,params_cnn_channels,params_dropout,params_focal_gamma,params_freq_mask_param,params_hidden_size,params_label_smoothing,params_learning_rate,params_loss_type,params_max_grad_norm,params_min_lr_ratio,params_mixup_alpha,params_mixup_prob,params_num_freq_masks,params_num_layers,params_num_time_masks,params_scheduler_type,params_speed_perturb_max,params_speed_perturb_min,params_speed_perturb_prob,params_time_mask_param,params_warmup_epochs,params_weight_decay,user_attrs_repeat_best_f1s,user_attrs_repeat_best_losses,user_attrs_repeat_mean_f1,user_attrs_repeat_robust_score,user_attrs_repeat_std_f1,state
0,0.6591563655724108,2026-05-03 05:31:27.998274,2026-05-03 05:36:11.429828,0 days 00:04:43.431554,64,True,64,0.47701814444901136,,8,192,0.13699098521619943,0.0006097839109531517,ce,0.7092407909780627,0.20296322368059488,0.21685785941408728,0.2465447373174767,3,2,3,warmup_invsqrt,1.1,0.9,0.13682099526511077,20,4,5.394455304087541e-05,[0.6591563655724108],[1.210136693587406],0.6591563655724108,0.6591563655724108,0.0,COMPLETE
1,,2026-05-03 05:36:11.551695,2026-05-03 05:37:04.433320,0 days 00:00:52.881625,64,True,80,0.32379422752781756,1.9675666141341164,6,192,0.09274563216630258,0.00011097554561103102,focal,1.3968499682166278,0.2737068376069122,0.4687496940092467,0.1353970008207678,2,1,1,warmup_invsqrt,1.1,0.9,0.058794858725743554,36,8,1.1626378306531551e-05,,,,,,FAIL
2,0.651354805683972,2026-05-03 05:37:12.292330,2026-05-03 05:41:54.600564,0 days 00:04:42.308234,64,True,64,0.47701814444901136,,8,192,0.13699098521619943,0.0006097839109531517,ce,0.7092407909780627,0.20296322368059488,0.21685785941408728,0.2465447373174767,3,2,3,warmup_invsqrt,1.1,0.9,0.13682099526511077,20,4,5.394455304087541e-05,[0.651354805683972],[1.2226235797936968],0.651354805683972,0.651354805683972,0.0,COMPLETE
3,0.5863104160570766,2026-05-03 05:41:54.719237,2026-05-03 05:46:18.015844,0 days 00:04:23.296607,64,True,80,0.32379422752781756,1.9675666141341164,6,192,0.09274563216630258,0.00011097554561103102,focal,1.3968499682166278,0.2737068376069122,0.4687496940092467,0.1353970008207678,2,1,1,warmup_invsqrt,1.1,0.9,0.058794858725743554,36,8,1.1626378306531551e-05,[0.5863104160570766],[0.6754768789529229],0.5863104160570766,0.5863104160570766,0.0,COMPLETE
4,0.624825670208277,2026-05-03 05:46:18.127646,2026-05-03 05:50:47.042281,0 days 00:04:28.914635,32,False,80,0.47671433596190427,1.6738035892876946,10,256,0.11712703466859459,0.0005167075260023275,focal,1.4563362070328196,0.232401544584516,0.4548850970305306,0.28888597006477973,3,3,4,plateau,1.1,0.9,0.035878273781490506,32,4,0.0007360091638366148,[0.624825670208277],[0.6902189782197526],0.624825670208277,0.624825670208277,0.0,COMPLETE
5,0.5235994668268074,2026-05-03 05:50:47.153295,2026-05-03 05:55:05.498017,0 days 00:04:18.344722,64,False,64,0.3888877846357622,,8,192,0.02615839278630344,0.00012884035848463504,ce,1.3090133628734761,0.27313974962249443,0.422976062065625,0.45843651996939727,1,1,3,warmup_invsqrt,1.1,0.9,0.09540104249155916,40,3,2.7253576171305756e-05,[0.5235994668268074],[1.2727232096578291],0.5235994668268074,0.5235994668268074,0.0,COMPLETE
6,0.35916934978415543,2026-05-03 05:55:05.602197,2026-05-03 05:55:30.788875,0 days 00:00:25.186678,64,False,48,0.5429455206802403,,12,256,0.06517822958253641,0.00017460443532333516,ce,0.8593428360004587,0.2770664714916634,0.15795794883648925,0.2957811041110252,3,2,2,plateau,1.1,0.9,0.2956951362331802,40,3,0.0017412787871290505,,,,,,PRUNED
7,0.666852269509431,2026-05-03 05:55:30.886945,2026-05-03 05:58:52.038310,0 days 00:03:21.151365,32,False,48,0.20414695723196405,,10,192,0.03811966201583504,0.000359087933424032,ce,1.8160090300714715,0.2811734045696407,0.20317665108606225,0.3639936184136716,3,3,1,plateau,1.1,0.9,0.24516666006036475,40,2,9.431030984067029e-05,[0.666852269509431],[1.0905859032266145],0.666852269509431,0.666852269509431,0.0,COMPLETE
8,0.6270530325123312,2026-05-03 05:58:52.138827,2026-05-03 06:02:01.551866,0 days 00:03:09.413039,32,True,80,0.42463854713176985,1.507592375769328,12,192,0.020735764129330373,0.00045458268795291895,focal,0.9880995472389016,0.10931227187420002,0.3985965620472097,0.35985315961888587,1,1,2,plateau,1.1,0.9,0.2547670231482534,20,6,0.00014259000073698732,[0.6270530325123312],[0.6527740998233823],0.6270530325123312,0.6270530325123312,0.0,COMPLETE
9,0.3438394975916145,2026-05-03 06:02:01.654605,2026-05-03 06:02:27.625842,0 days 00:00:25.971237,64,False,64,0.37019309061021394,2.930892865503881,6,192,0.10454722959071677,0.00020745409176835388,focal,1.7795141832010402,0.2909049942723132,0.2177795568278343,0.2540390914407701,3,3,4,warmup_invsqrt,1.1,0.9,0.25534100145505706,40,8,5.4692231235925465e-05,,,,,,PRUNED
10,0.3310488493092671,2026-05-03 06:02:27.723391,2026-05-03 06:03:09.268098,0 days 00:00:41.544707,32,True,64,0.37339796106612333,2.2670135982914066,14,256,0.12101133946791809,0.000292144704206099,focal,1.063374428959916,0.13449878921288394,0.1375927759363476,0.3313120563984696,2,2,3,warmup_cosine,1.1,0.9,0.010782682139022625,20,8,0.0009899542627616385,,,,,,PRUNED
11,0.6477208214918297,2026-05-03 06:03:09.367066,2026-05-03 06:07:25.983395,0 days 00:04:16.616329,32,False,48,0.3044904689037049,,16,320,0.06239808865407698,0.0008621083988008804,ce,1.9187145799605694,0.05711957278499297,0.3320150460092073,0.49390700555696965,4,3,2,warmup_cosine,1.1,0.9,0.20253186700453746,48,2,0.00021744146672792806,[0.6477208214918297],[1.2888551447317182],0.6477208214918297,0.6477208214918297,0.0,COMPLETE
12,0.3926523826946951,2026-05-03 06:07:26.087451,2026-05-03 06:07:57.423983,0 days 00:00:31.336532,32,True,48,0.4929810030950178,,10,320,0.0654575813130022,0.000346988621376383,ce,0.5383242422158152,0.21145098079640537,0.25638093229196685,0.17317202929318454,4,2,4,plateau,1.1,0.9,0.17510702291073849,28,6,0.00012014311843979998,,,,,,PRUNED
13,0.6515472140538089,2026-05-03 06:07:57.525153,2026-05-03 06:10:54.865257,0 days 00:02:57.340104,32,False,48,0.20627367310914538,,4,192,0.04290008075886986,0.0009542155721709485,ce,1.498584673728871,0.17452694633771249,0.1018960478612359,0.40317843636064027,2,3,1,warmup_invsqrt,1.1,0.9,0.13394815281763028,16,2,2.8950652640956647e-05,[0.6515472140538089],[1.1087979853010292],0.6515472140538089,0.6515472140538089,0.0,COMPLETE
14,0.3592149713622826,2026-05-03 06:10:54.962189,2026-05-03 06:11:19.185438,0 days 00:00:24.223249,64,True,64,0.5232302002744974,,8,192,0.08235297741089986,0.00032146785939629553,ce,1.6844491206497907,0.23147509987125747,0.30684806174238505,0.19790021357715396,4,2,3,plateau,1.1,0.9,0.20308937927469228,48,5,0.0003655252205672666,,,,,,PRUNED
