number,value,datetime_start,datetime_complete,duration,params_batch_size,params_class_weighting,params_cnn_channels,params_dropout,params_focal_gamma,params_freq_mask_param,params_hidden_size,params_label_smoothing,params_learning_rate,params_loss_type,params_max_grad_norm,params_min_lr_ratio,params_mixup_alpha,params_mixup_prob,params_num_freq_masks,params_num_layers,params_num_time_masks,params_scheduler_type,params_speed_perturb_max,params_speed_perturb_min,params_speed_perturb_prob,params_time_mask_param,params_warmup_epochs,params_weight_decay,user_attrs_repeat_best_f1s,user_attrs_repeat_best_losses,user_attrs_repeat_mean_f1,user_attrs_repeat_robust_score,user_attrs_repeat_std_f1,state
0,0.5516741121071922,2026-05-02 21:49:03.385836,2026-05-02 21:51:57.576027,0 days 00:02:54.190191,32,False,64,0.4610073230177474,,12,320,0.047968588561148294,0.000763498955513887,ce,0.7796639005350905,0.10573202474906403,0.2562592373814565,0.17726496225472968,2,2,2,plateau,1.1,0.9,0.1832732794065368,44,4,7.056016104707958e-05,"[0.5517496485919683, 0.5516489332789335]","[1.2171830679301163, 1.2479905879183066]",0.5516992909354509,0.5516741121071922,5.0357656517396876e-05,COMPLETE
1,0.5324938330484097,2026-05-02 21:51:57.709826,2026-05-02 21:53:56.205829,0 days 00:01:58.496003,64,False,64,0.45300589481830833,,6,320,0.08634974711224261,0.0008360489455762075,ce,1.0163133406170417,0.14058340273430742,0.2798074999663026,0.11077690419500281,3,1,3,warmup_invsqrt,1.1,0.9,0.12457430694296544,28,6,0.0007282606391719144,"[0.532808143867648, 0.5323890627753304]","[1.308896625070549, 1.291901058716168]",0.5325986033214891,0.5324938330484097,0.00020954054615879292,COMPLETE
2,0.4204664981090185,2026-05-02 21:53:56.335640,2026-05-02 21:56:10.337046,0 days 00:02:14.001406,64,False,80,0.5232146989863478,2.7093609126379055,16,256,0.12918326794322413,0.00021212351442941534,focal,1.6624216648160708,0.05184711271597249,0.44178847824050516,0.1526131267385462,4,2,4,warmup_cosine,1.1,0.9,0.0863020932090645,20,5,0.00017285261185869373,"[0.4281272407961771, 0.417912917213299]","[0.7674048944628782, 0.78152923761226]",0.42302007900473804,0.4204664981090185,0.005107161791439052,COMPLETE
3,0.5483004376707168,2026-05-02 21:56:10.466219,2026-05-02 21:59:03.348206,0 days 00:02:52.881987,32,False,64,0.41824365066076896,,6,192,0.05753979213267024,0.00040838147381798103,ce,1.2829459181375702,0.14964566287047665,0.14240500099669956,0.44139695531117307,4,3,4,warmup_invsqrt,1.1,0.9,0.15551921013866837,44,2,0.0009615432059292618,"[0.5512540583542248, 0.5473158974428808]","[1.2468142117813623, 1.253506924322755]",0.5492849778985528,0.5483004376707168,0.001969080455672012,COMPLETE
4,0.456291449819507,2026-05-02 21:59:03.473549,2026-05-02 22:00:33.686425,0 days 00:01:30.212876,64,True,48,0.3590126510377554,2.753308541943638,4,192,0.08356518445616108,0.0003263237691319505,focal,0.9287727884066459,0.28631656653974175,0.3611722907304994,0.42441621481265945,3,2,1,warmup_cosine,1.1,0.9,0.12162795266278476,28,6,0.00018861432597570303,"[0.499100693709207, 0.44202170185627365]","[0.6519485340415717, 0.7800430828432957]",0.4705611977827403,0.456291449819507,0.02853949592646668,COMPLETE
5,0.27216788208804726,2026-05-02 22:00:33.835153,2026-05-02 22:00:58.615217,0 days 00:00:24.780064,64,True,48,0.43265043444979345,,4,192,0.029935051582358138,0.00012478217807263198,ce,1.5424543133191573,0.19482629419213698,0.3272055997148784,0.3304314535304119,3,1,1,warmup_invsqrt,1.1,0.9,0.2915879654400108,20,5,1.336516286147828e-05,,,,,,PRUNED
6,0.3916336640459633,2026-05-02 22:00:58.740345,2026-05-02 22:01:35.370163,0 days 00:00:36.629818,32,False,64,0.41830384057996234,1.8058206717784535,12,256,0.07515766736490966,0.00016943557175274005,focal,1.5744401618907622,0.17897505484623832,0.35906502962915565,0.42916366755880964,2,1,3,warmup_invsqrt,1.1,0.9,0.2312966074832913,20,4,0.0006711183533639016,,,,,,PRUNED
7,0.5782101193754348,2026-05-02 22:01:35.491628,2026-05-02 22:04:14.940179,0 days 00:02:39.448551,32,True,80,0.425397535197477,2.3220087218286456,6,192,0.11197582229675734,0.0007963243424447528,focal,0.6810897951490927,0.2739918529722683,0.23321452876677676,0.36707429555658677,2,2,2,warmup_cosine,1.1,0.9,0.111760928803773,32,5,7.360837310462652e-05,"[0.5821102649196196, 0.5769100708607064]","[0.6045252744385379, 0.5972118220455069]",0.5795101678901631,0.5782101193754348,0.0026000970294565717,COMPLETE
8,0.3954554156818718,2026-05-02 22:04:15.066092,2026-05-02 22:04:45.432072,0 days 00:00:30.365980,64,True,48,0.3816478636475045,,6,192,0.025681107250353722,0.0005737878443615557,ce,1.0434586948343074,0.11638611082155707,0.3835019705323034,0.10462142348054077,2,2,2,warmup_invsqrt,1.1,0.9,0.05013989861629071,20,8,6.530008656023642e-05,,,,,,PRUNED
9,0.5409142229246772,2026-05-02 22:04:45.558533,2026-05-02 22:07:59.882077,0 days 00:03:14.323544,32,True,64,0.3513289043024786,2.9604868373208126,14,256,0.04095305032493143,0.0003523039306966571,focal,0.6216968741358151,0.1535890022939726,0.3036164031658982,0.364903126681312,2,3,4,warmup_cosine,1.1,0.9,0.2252491264698539,32,5,0.0004814609143242968,"[0.574875289508943, 0.5295938673965885]","[0.5491816120610821, 0.5666769546427601]",0.5522345784527658,0.5409142229246772,0.02264071105617721,COMPLETE
10,0.6085256097351992,2026-05-02 22:08:00.016550,2026-05-02 22:10:39.533422,0 days 00:02:39.516872,32,True,80,0.3025159127850222,2.121132116018215,10,192,0.11796663147025842,0.0009817704991404363,focal,1.9872957304396075,0.27662754101449116,0.17492338895297851,0.2570539328444186,3,2,2,plateau,1.1,0.9,0.0008760201568083631,36,2,5.244142839670857e-05,"[0.615839126209018, 0.6060877709105928]","[0.608967029934021, 0.6242713081322128]",0.6109634485598054,0.6085256097351992,0.004875677649212595,COMPLETE
11,0.4212555920334951,2026-05-02 22:10:39.657885,2026-05-02 22:11:24.308696,0 days 00:00:44.650811,32,True,80,0.4972552928123079,2.145952670663442,10,192,0.11861928827668726,0.0009772147429767063,focal,1.9324121968802221,0.29201726307764014,0.17839011043786984,0.2559622272564059,3,2,2,plateau,1.1,0.9,0.002164297198421858,36,2,5.942237970239409e-05,,,,,,PRUNED
12,0.5839248046069582,2026-05-02 22:11:24.436708,2026-05-02 22:14:04.742726,0 days 00:02:40.306018,32,True,80,0.30785701668001514,2.2132199638505528,10,192,0.10861960679187423,0.0005331812977448253,focal,1.9957659976180602,0.23727080486057744,0.2143857387789158,0.24794148946926645,4,2,3,plateau,1.1,0.9,0.016063801707972218,36,8,0.0017479848614691102,"[0.5800800898221598, 0.5954589489613534]","[0.6065551271255639, 0.6134016385896028]",0.5877695193917566,0.5839248046069582,0.0076894295695968395,COMPLETE
13,0.5698762482366747,2026-05-02 22:14:04.878080,2026-05-02 22:16:29.866394,0 days 00:02:24.988314,32,True,80,0.3001149007636192,2.137378834818516,10,192,0.10435104090313421,0.0005077188986243726,focal,1.998481358131798,0.23360488780357494,0.19937676747042787,0.24026393683441988,4,2,3,plateau,1.1,0.9,0.02789756021105174,40,8,0.0019184253577880254,"[0.5617741795970359, 0.594182454155591]","[0.6785259072443278, 0.6224555968523597]",0.5779783168763135,0.5698762482366747,0.016204137279277553,COMPLETE
14,0.5980841540035118,2026-05-02 22:16:30.002845,2026-05-02 22:19:04.079759,0 days 00:02:34.076914,32,True,80,0.301347073741545,1.6926820294614326,10,192,0.13881954867652618,0.0005989039278386366,focal,1.7985180097821556,0.2325674656981301,0.12111806174369269,0.2540164124831786,4,2,3,plateau,1.1,0.9,0.058061897879440175,48,3,0.0019927933662903068,"[0.5995441266521669, 0.5975974964539601]","[0.6836040261552202, 0.7066405952977334]",0.5985708115530635,0.5980841540035118,0.0009733150991034223,COMPLETE
15,0.5497174154703597,2026-05-02 22:19:04.186672,2026-05-02 22:20:19.059587,0 days 00:01:14.872915,32,True,80,0.33423048074847966,1.5388160763065921,8,320,0.13888429194174212,0.0006415543215530386,focal,1.775210022493141,0.23056126005980357,0.12307352225948348,0.29529678261044423,3,3,3,plateau,1.1,0.9,0.06689039324958841,48,3,0.00026852077493432814,,,,,,PRUNED
16,0.4769933081791345,2026-05-02 22:20:19.171180,2026-05-02 22:21:00.771010,0 days 00:00:41.599830,32,True,80,0.38413818877022143,1.7432382918010807,14,192,0.1398024692253988,0.00025202509868196783,focal,1.3825585129565963,0.2565295967051337,0.10087940438322364,0.1997213013661769,4,2,3,plateau,1.1,0.9,0.04974730392496385,48,3,0.00012435860158554253,,,,,,PRUNED
17,0.5528955271422881,2026-05-02 22:21:00.880039,2026-05-02 22:23:14.996795,0 days 00:02:14.116756,32,True,80,0.3249798989504975,1.9197595226624111,8,192,0.12491185328874041,0.0009904421650636873,focal,1.8044614134677304,0.20452634693665614,0.1634112912938102,0.2975496584445951,3,2,2,plateau,1.1,0.9,0.08656758245686143,40,3,0.001259084319242587,"[0.5440049150347243, 0.5795673634649792]","[0.7567742114587368, 0.6758538378800134]",0.5617861392498518,0.5528955271422881,0.017781224215127456,COMPLETE
18,0.5178634606441361,2026-05-02 22:23:15.116002,2026-05-02 22:24:32.018383,0 days 00:01:16.902381,32,True,80,0.3795645402732694,1.5311295331566617,12,256,0.10058993519686202,0.0004799149816306643,focal,1.429682226055809,0.2556271197184328,0.15244160479967328,0.2078071179771254,4,3,4,plateau,1.1,0.9,0.0005873576732950082,44,2,0.0004363022504367977,,,,,,PRUNED
