number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cnn_channels,params_dropout,params_freq_mask_param,params_frontend_type,params_fusion_type,params_label_smoothing,params_learning_rate,params_mamba_d_conv,params_mamba_d_model,params_mamba_d_state,params_mamba_expand,params_num_freq_masks,params_num_layers,params_num_time_masks,params_pooling_type,params_repeat_id,params_time_mask_param,params_weight_decay,system_attrs_grid_id,system_attrs_search_space,state
0,,2026-04-29 22:40:02.938770,2026-04-29 22:40:54.312504,0 days 00:00:51.373734,8,48,0.35,8,basic_cnn,concat,0.05,0.0003,4,96,32,2,2,2,2,meanmax,1,24,0.0001,0,"{'frontend_type': ['basic_cnn', 'residual_cnn'], 'fusion_type': ['concat', 'gated'], 'pooling_type': ['meanmax', 'attention'], 'repeat_id': [0, 1]}",FAIL
1,0.4856829614865885,2026-04-29 22:41:09.977537,2026-04-29 23:02:17.686295,0 days 00:21:07.708758,8,48,0.35,8,basic_cnn,gated,0.05,0.0003,4,96,32,2,2,2,2,attention,0,24,0.0001,1,"{'frontend_type': ['basic_cnn', 'residual_cnn'], 'fusion_type': ['concat', 'gated'], 'pooling_type': ['meanmax', 'attention'], 'repeat_id': [0, 1]}",COMPLETE
2,0.40109988425328374,2026-04-29 23:02:17.810023,2026-04-29 23:12:33.711534,0 days 00:10:15.901511,8,48,0.35,8,residual_cnn,concat,0.05,0.0003,4,96,32,2,2,2,2,meanmax,0,24,0.0001,2,"{'frontend_type': ['basic_cnn', 'residual_cnn'], 'fusion_type': ['concat', 'gated'], 'pooling_type': ['meanmax', 'attention'], 'repeat_id': [0, 1]}",COMPLETE
3,0.522441877817071,2026-04-29 23:12:33.828087,2026-04-29 23:32:53.052257,0 days 00:20:19.224170,8,48,0.35,8,residual_cnn,concat,0.05,0.0003,4,96,32,2,2,2,2,meanmax,1,24,0.0001,3,"{'frontend_type': ['basic_cnn', 'residual_cnn'], 'fusion_type': ['concat', 'gated'], 'pooling_type': ['meanmax', 'attention'], 'repeat_id': [0, 1]}",COMPLETE
4,0.44479839076267413,2026-04-29 23:32:53.168461,2026-04-29 23:45:38.005885,0 days 00:12:44.837424,8,48,0.35,8,residual_cnn,gated,0.05,0.0003,4,96,32,2,2,2,2,meanmax,1,24,0.0001,4,"{'frontend_type': ['basic_cnn', 'residual_cnn'], 'fusion_type': ['concat', 'gated'], 'pooling_type': ['meanmax', 'attention'], 'repeat_id': [0, 1]}",COMPLETE
5,0.5212094159056166,2026-04-29 23:45:38.123718,2026-04-30 00:05:48.863010,0 days 00:20:10.739292,8,48,0.35,8,basic_cnn,gated,0.05,0.0003,4,96,32,2,2,2,2,meanmax,0,24,0.0001,5,"{'frontend_type': ['basic_cnn', 'residual_cnn'], 'fusion_type': ['concat', 'gated'], 'pooling_type': ['meanmax', 'attention'], 'repeat_id': [0, 1]}",COMPLETE
6,0.5414192417682832,2026-04-30 00:05:48.980466,2026-04-30 00:25:56.362395,0 days 00:20:07.381929,8,48,0.35,8,basic_cnn,concat,0.05,0.0003,4,96,32,2,2,2,2,attention,0,24,0.0001,6,"{'frontend_type': ['basic_cnn', 'residual_cnn'], 'fusion_type': ['concat', 'gated'], 'pooling_type': ['meanmax', 'attention'], 'repeat_id': [0, 1]}",COMPLETE
7,0.513319896145272,2026-04-30 00:25:56.480219,2026-04-30 00:46:18.479437,0 days 00:20:21.999218,8,48,0.35,8,residual_cnn,gated,0.05,0.0003,4,96,32,2,2,2,2,attention,0,24,0.0001,7,"{'frontend_type': ['basic_cnn', 'residual_cnn'], 'fusion_type': ['concat', 'gated'], 'pooling_type': ['meanmax', 'attention'], 'repeat_id': [0, 1]}",COMPLETE
8,0.48104005563920277,2026-04-30 00:46:18.591994,2026-04-30 01:06:35.808434,0 days 00:20:17.216440,8,48,0.35,8,residual_cnn,concat,0.05,0.0003,4,96,32,2,2,2,2,attention,0,24,0.0001,8,"{'frontend_type': ['basic_cnn', 'residual_cnn'], 'fusion_type': ['concat', 'gated'], 'pooling_type': ['meanmax', 'attention'], 'repeat_id': [0, 1]}",COMPLETE
9,0.5721506504545436,2026-04-30 01:06:35.919753,2026-04-30 01:26:50.635630,0 days 00:20:14.715877,8,48,0.35,8,basic_cnn,gated,0.05,0.0003,4,96,32,2,2,2,2,attention,1,24,0.0001,9,"{'frontend_type': ['basic_cnn', 'residual_cnn'], 'fusion_type': ['concat', 'gated'], 'pooling_type': ['meanmax', 'attention'], 'repeat_id': [0, 1]}",COMPLETE
10,0.48765786452574533,2026-04-30 01:26:50.750912,2026-04-30 01:47:12.038127,0 days 00:20:21.287215,8,48,0.35,8,residual_cnn,gated,0.05,0.0003,4,96,32,2,2,2,2,attention,1,24,0.0001,10,"{'frontend_type': ['basic_cnn', 'residual_cnn'], 'fusion_type': ['concat', 'gated'], 'pooling_type': ['meanmax', 'attention'], 'repeat_id': [0, 1]}",COMPLETE
11,0.5203140857851921,2026-04-30 01:47:12.157945,2026-04-30 02:07:24.897115,0 days 00:20:12.739170,8,48,0.35,8,residual_cnn,concat,0.05,0.0003,4,96,32,2,2,2,2,attention,1,24,0.0001,11,"{'frontend_type': ['basic_cnn', 'residual_cnn'], 'fusion_type': ['concat', 'gated'], 'pooling_type': ['meanmax', 'attention'], 'repeat_id': [0, 1]}",COMPLETE
12,0.5038845495923173,2026-04-30 02:07:25.011900,2026-04-30 02:27:27.526654,0 days 00:20:02.514754,8,48,0.35,8,basic_cnn,concat,0.05,0.0003,4,96,32,2,2,2,2,attention,1,24,0.0001,12,"{'frontend_type': ['basic_cnn', 'residual_cnn'], 'fusion_type': ['concat', 'gated'], 'pooling_type': ['meanmax', 'attention'], 'repeat_id': [0, 1]}",COMPLETE
13,0.5497744196299881,2026-04-30 02:27:27.638846,2026-04-30 02:47:30.103152,0 days 00:20:02.464306,8,48,0.35,8,basic_cnn,concat,0.05,0.0003,4,96,32,2,2,2,2,meanmax,0,24,0.0001,13,"{'frontend_type': ['basic_cnn', 'residual_cnn'], 'fusion_type': ['concat', 'gated'], 'pooling_type': ['meanmax', 'attention'], 'repeat_id': [0, 1]}",COMPLETE
14,0.5626719296531644,2026-04-30 02:47:30.215219,2026-04-30 03:07:36.584253,0 days 00:20:06.369034,8,48,0.35,8,basic_cnn,gated,0.05,0.0003,4,96,32,2,2,2,2,meanmax,1,24,0.0001,14,"{'frontend_type': ['basic_cnn', 'residual_cnn'], 'fusion_type': ['concat', 'gated'], 'pooling_type': ['meanmax', 'attention'], 'repeat_id': [0, 1]}",COMPLETE
15,0.5233015105026645,2026-04-30 03:07:36.703407,2026-04-30 03:28:08.884878,0 days 00:20:32.181471,8,48,0.35,8,residual_cnn,gated,0.05,0.0003,4,96,32,2,2,2,2,meanmax,0,24,0.0001,15,"{'frontend_type': ['basic_cnn', 'residual_cnn'], 'fusion_type': ['concat', 'gated'], 'pooling_type': ['meanmax', 'attention'], 'repeat_id': [0, 1]}",COMPLETE
