rank_by_stageb,trial_number,seed,val_f1,frontend_type,fusion_type,pooling_type,mamba_d_model,cnn_channels,mamba_d_state,num_layers,dropout,weight_decay,label_smoothing,learning_rate,batch_size
1,52,42,0.6280726725797998,basic_cnn,gated,meanmax,128,64,32,2,0.3865301519804535,3.883987141559572e-05,0.05542770334427646,0.0006829950096674981,32
1,52,1337,0.6397005061315385,basic_cnn,gated,meanmax,128,64,32,2,0.3865301519804535,3.883987141559572e-05,0.05542770334427646,0.0006829950096674981,32
2,55,42,0.653267538795018,basic_cnn,gated,meanmax,128,64,32,2,0.39544179730570234,3.005248332581956e-05,0.06670499070720898,0.000640440810906825,32
2,55,1337,0.6429956986349291,basic_cnn,gated,meanmax,128,64,32,2,0.39544179730570234,3.005248332581956e-05,0.06670499070720898,0.000640440810906825,32
3,53,42,0.6529003721516138,basic_cnn,gated,meanmax,128,64,32,2,0.38808882692141133,4.033328929925517e-05,0.056385235347159994,0.0009965129364910847,32
3,53,1337,0.6558958794271056,basic_cnn,gated,meanmax,128,64,32,2,0.38808882692141133,4.033328929925517e-05,0.056385235347159994,0.0009965129364910847,32
4,47,42,0.6349821333409004,basic_cnn,gated,meanmax,128,64,32,2,0.3405705092471323,2.8372389711995763e-05,0.05410438398994445,0.0009712890130371613,32
4,47,1337,0.6165154238714003,basic_cnn,gated,meanmax,128,64,32,2,0.3405705092471323,2.8372389711995763e-05,0.05410438398994445,0.0009712890130371613,32
5,54,42,0.600550537082157,basic_cnn,gated,meanmax,128,64,32,2,0.39134863493685934,2.9521861511090545e-05,0.06810218120773034,0.0006817686475229547,32
5,54,1337,0.6543134707174693,basic_cnn,gated,meanmax,128,64,32,2,0.39134863493685934,2.9521861511090545e-05,0.06810218120773034,0.0006817686475229547,32
